"precio","marcaModelo","anio","vistas","Cilindrada","Estilo","Combustible","Transmisión","Estado","Kilometraje","Placa","Color exterior","Color interior","# de puertas","Ya pagó impuestos","Precio negociable","Se recibe vehículo","Provincia","Fecha de ingreso","cantidadExtras","marca","modelo"
3475000,"Toyota ECHO ",2004,716,1500,"Hatchback","Gasolina","Automática/Dual","Excelente",108589,"ND","ROJO","GRIS",2,"SI","SI","SI","Heredia","30 de Diciembre del 2020",9,"Toyota","ECHO"
29185000,"Toyota LAND CRUISER PRADO TX",2017,65,3000,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",57600,"Termina en 4","GRIS","NEGRO",5,"SI","SI","NO","San José","03 de Febrero del 2021",25,"Toyota","LAND CRUISER PRADO TX"
5200000,"Mitsubishi MONTERO",2001,253,3500,"Todo Terreno 4x4","Híbrido","Automática/Dual","Muy Bueno",230000,"Termina en 8","GRIS PLATA","GRIS",5,"SI","SI","NO","Alajuela","29 de Enero del 2021",24,"Mitsubishi","MONTERO"
2800000,"Hyundai SANTA FE",2002,1128,2400,"Sedán","Gasolina","Manual","Muy Bueno",213000,"Termina en 1","GRIS","GRIS",4,"SI","SI","NO","San José","19 de Noviembre del 2020",13,"Hyundai","SANTA FE"
450000,"Hyundai EXCEL GLSI",1992,1354,1500,"Sedán","Gasolina","Manual","Regular",222876,"Termina en 8","BEIGE","NEGRO",4,"NO","SI","NO","San José","12 de Noviembre del 2020",2,"Hyundai","EXCEL GLSI"
7500000,"Toyota COROLLA",2014,684,1800,"Sedán","Gasolina","Automática/Dual","Excelente",125000,"ND","AZUL","NEGRO",4,"SI","SI","SI","San José","12 de Enero del 2021",15,"Toyota","COROLLA"
8500000,"Hyundai TUCSON LIMITED",2011,438,2400,"Todo Terreno 4x2","Gasolina","Automática/Dual","Muy Bueno",82429,"Termina en 4","GRIS","NEGRO",4,"SI","NO","SI","San José","30 de Diciembre del 2020",25,"Hyundai","TUCSON LIMITED"
4450000,"Nissan TIIDA",2012,706,1600,"Sedán","Gasolina","Manual","Excelente",,"Termina en 9","CHAMPAGNE","BEIGE",4,"SI","SI","NO","Heredia","19 de Noviembre del 2020",21,"Nissan","TIIDA"
32500000,"Toyota HILUX SRV PLATINUM",2020,1612,2800,"Pickup 4x4","Diesel","Automática/Dual","Excelente",4850,"Termina en 8","AZUL","NEGRO",5,"SI","SI","NO","San José","18 de Enero del 2021",30,"Toyota","HILUX SRV PLATINUM"
5950000,"Nissan TIIDA",2017,9,1600,"Sedán","Gasolina","Manual","Excelente",147,"Termina en 0","GRIS","NEGRO",4,"SI","SI","NO","San José","05 de Febrero del 2021",16,"Nissan","TIIDA"
2000000,"Honda CIVIC",1996,336,1600,"Sedán","Gasolina","Manual","Excelente",156000,"Termina en 5","GRIS","GRIS",4,"SI","SI","NO","Cartago","05 de Enero del 2021",11,"Honda","CIVIC"
16112000,"BMW X3",2015,177,2000,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",70065,"Termina en 8","AZUL","BEIGE",5,"SI","SI","NO","San José","03 de Febrero del 2021",30,"BMW","X3"
